Year, Pace (seconds), Total Time (seconds), Total Time (minutes)
2021, 311, 4074, 67.90
2021, 318, 4165, 69.42
2021, 319, 4178, 69.63
2021, 323, 4231, 70.52
2021, 324, 4244, 70.73
2021, 325, 4257, 70.95
2021, 325, 4257, 70.95
2021, 326, 4270, 71.17
2021, 332, 4349, 72.48
2021, 336, 4401, 73.35
2021, 339, 4440, 74.00
2021, 339, 4440, 74.00
2021, 340, 4454, 74.23
2021, 345, 4519, 75.32
2021, 349, 4571, 76.18
2021, 354, 4637, 77.28
2021, 355, 4650, 77.50
2021, 356, 4663, 77.72
2021, 357, 4676, 77.93
2021, 357, 4676, 77.93
2021, 358, 4689, 78.15
2021, 359, 4702, 78.37
2021, 359, 4702, 78.37
2021, 359, 4702, 78.37
2021, 361, 4729, 78.82
2021, 363, 4755, 79.25
2021, 364, 4768, 79.47
2021, 364, 4768, 79.47
2021, 364, 4768, 79.47
2021, 365, 4781, 79.68
2021, 366, 4794, 79.90
2021, 366, 4794, 79.90
2021, 367, 4807, 80.12
2021, 368, 4820, 80.33
2021, 369, 4833, 80.55
2021, 369, 4833, 80.55
2021, 370, 4847, 80.78
2021, 371, 4860, 81.00
2021, 372, 4873, 81.22
2021, 373, 4886, 81.43
2021, 374, 4899, 81.65
2021, 380, 4978, 82.97
2021, 381, 4991, 83.18
2021, 382, 5004, 83.40
2021, 383, 5017, 83.62
2021, 383, 5017, 83.62
2021, 386, 5056, 84.27
2021, 388, 5082, 84.70
2021, 389, 5095, 84.92
2021, 390, 5109, 85.15
2021, 392, 5135, 85.58
2021, 393, 5148, 85.80
2021, 393, 5148, 85.80
2021, 396, 5187, 86.45
2021, 396, 5187, 86.45
2021, 396, 5187, 86.45
2021, 397, 5200, 86.67
2021, 398, 5213, 86.88
2021, 398, 5213, 86.88
2021, 398, 5213, 86.88
2021, 401, 5253, 87.55
2021, 401, 5253, 87.55
2021, 401, 5253, 87.55
2021, 403, 5279, 87.98
2021, 404, 5292, 88.20
2021, 405, 5305, 88.42
2021, 406, 5318, 88.63
2021, 407, 5331, 88.85
2021, 408, 5344, 89.07
2021, 409, 5357, 89.28
2021, 410, 5371, 89.52
2021, 411, 5384, 89.73
2021, 412, 5397, 89.95
2021, 413, 5410, 90.17
2021, 414, 5423, 90.38
2021, 414, 5423, 90.38
2021, 414, 5423, 90.38
2021, 415, 5436, 90.60
2021, 415, 5436, 90.60
2021, 415, 5436, 90.60
2021, 416, 5449, 90.82
2021, 419, 5488, 91.47
2021, 419, 5488, 91.47
2021, 420, 5502, 91.70
2021, 420, 5502, 91.70
2021, 424, 5554, 92.57
2021, 425, 5567, 92.78
2021, 425, 5567, 92.78
2021, 425, 5567, 92.78
2021, 425, 5567, 92.78
2021, 425, 5567, 92.78
2021, 426, 5580, 93.00
